,Unnamed: 0,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
0,0.0,0,100,10,10,50,0,207.49038461163005,0,DNN (False)
1,1.0,0,100,50,50,50,0,2190.01412670965,0,DNN (False)
2,2.0,0,100,100,100,50,0,1221.4910265297783,0,DNN (False)
3,3.0,0,100,400,400,50,0,967.09792064395,0,DNN (False)
4,4.0,0,100,600,600,50,0,117.25124375827116,0,DNN (False)
5,5.0,0,100,800,800,50,0,1418.8016960152224,0,DNN (False)
6,6.0,0,100,1000,1000,50,0,2680.3796914774603,0,DNN (False)
7,0.0,1,100,10,10,50,0,2.044182232000064,0,DNN (False)
8,1.0,1,100,50,50,50,0,1077212.5136105178,0,DNN (False)
9,2.0,1,100,100,100,50,0,189.46397960775408,0,DNN (False)
10,3.0,1,100,400,400,50,0,1846.1850966607904,0,DNN (False)
11,4.0,1,100,600,600,50,0,19158.365934513546,0,DNN (False)
12,5.0,1,100,800,800,50,0,6440557.213099736,0,DNN (False)
13,6.0,1,100,1000,1000,50,0,58542677.72901856,0,DNN (False)
14,0.0,2,100,10,10,50,0,1097.56559339438,0,DNN (False)
15,1.0,2,100,50,50,50,0,3658.0682893505978,0,DNN (False)
16,2.0,2,100,100,100,50,0,58730.87817155754,0,DNN (False)
17,3.0,2,100,400,400,50,0,145.9339839447563,0,DNN (False)
18,4.0,2,100,600,600,50,0,2254.034129534204,0,DNN (False)
19,5.0,2,100,800,800,50,0,7876.737980693661,0,DNN (False)
20,6.0,2,100,1000,1000,50,0,21342284.11867892,0,DNN (False)
21,0.0,3,100,10,10,50,0,0.7829367834435439,0,DNN (False)
22,1.0,3,100,50,50,50,0,1817.8240082361592,0,DNN (False)
23,2.0,3,100,100,100,50,0,127.89096077391804,0,DNN (False)
24,3.0,3,100,400,400,50,0,29.82749413091764,0,DNN (False)
25,4.0,3,100,600,600,50,0,198825.92745136464,0,DNN (False)
26,5.0,3,100,800,800,50,0,3024.93612127131,0,DNN (False)
27,6.0,3,100,1000,1000,50,0,127742.5664062445,0,DNN (False)
0,,0,100,10,10,50,0,0.07566728997847974,0,DNN (False)
1,,0,100,50,50,50,0,355.2462740731855,0,DNN (False)
2,,0,100,100,100,50,0,4915.310632224554,0,DNN (False)
3,,0,100,400,400,50,0,9325.25809321641,0,DNN (False)
4,,0,100,600,600,50,0,5674.09015621197,0,DNN (False)
5,,0,100,800,800,50,0,11569.051267267307,0,DNN (False)
6,,0,100,1000,1000,50,0,6514.799042074796,0,DNN (False)
0,,1,100,10,10,50,0,813.9987274305018,0,DNN (False)
1,,1,100,50,50,50,0,204670.9637137678,0,DNN (False)
2,,1,100,100,100,50,0,1430.7425136641643,0,DNN (False)
3,,1,100,400,400,50,0,19462.581076105238,0,DNN (False)
4,,1,100,600,600,50,0,1618.1058167847111,0,DNN (False)
5,,1,100,800,800,50,0,8835.371459769312,0,DNN (False)
6,,1,100,1000,1000,50,0,618.4223029252075,0,DNN (False)
0,,2,100,10,10,50,0,20.57215657779145,0,DNN (False)
1,,2,100,50,50,50,0,33.913565560056014,0,DNN (False)
2,,2,100,100,100,50,0,32024.76759137515,0,DNN (False)
3,,2,100,400,400,50,0,770.8495638172836,0,DNN (False)
4,,2,100,600,600,50,0,22499.208076732666,0,DNN (False)
5,,2,100,800,800,50,0,60110.35815842771,0,DNN (False)
6,,2,100,1000,1000,50,0,2885.4541362316163,0,DNN (False)
0,,3,100,10,10,50,0,466.97744626894126,0,DNN (False)
1,,3,100,50,50,50,0,570.3304566687312,0,DNN (False)
2,,3,100,100,100,50,0,66336.14444398714,0,DNN (False)
3,,3,100,400,400,50,0,171050.21628427706,0,DNN (False)
4,,3,100,600,600,50,0,8294.819351910086,0,DNN (False)
5,,3,100,800,800,50,0,376.9694057651884,0,DNN (False)
6,,3,100,1000,1000,50,0,2729.5630846742733,0,DNN (False)
