,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
1,1.0,1.0,1.0,0,100,50,50,50,0,22.69983749448858,0,DNN (True)
3,3.0,3.0,3.0,0,100,400,400,50,0,675.0472413540674,0,DNN (True)
4,4.0,4.0,4.0,0,100,600,600,50,0,1313.052087904165,0,DNN (True)
5,5.0,5.0,5.0,0,100,800,800,50,0,363.5612888906746,0,DNN (True)
6,6.0,6.0,6.0,0,100,1000,1000,50,0,101.64232408943622,0,DNN (True)
9,9.0,9.0,2.0,1,100,100,100,50,0,233.4978683312124,0,DNN (True)
13,13.0,13.0,6.0,1,100,1000,1000,50,0,3799.905221832688,0,DNN (True)
14,14.0,14.0,0.0,2,100,10,10,50,0,3.0382673524174617,0,DNN (True)
15,15.0,15.0,1.0,2,100,50,50,50,0,14.87752012928508,0,DNN (True)
16,16.0,16.0,2.0,2,100,100,100,50,0,597.358802451658,0,DNN (True)
17,17.0,17.0,3.0,2,100,400,400,50,0,439.5489881235828,0,DNN (True)
18,18.0,18.0,4.0,2,100,600,600,50,0,12059.785098578715,0,DNN (True)
20,20.0,20.0,6.0,2,100,1000,1000,50,0,2956.0114988586697,0,DNN (True)
21,21.0,21.0,0.0,3,100,10,10,50,0,138.36142870130496,0,DNN (True)
22,22.0,22.0,1.0,3,100,50,50,50,0,98311.97546168072,0,DNN (True)
23,23.0,23.0,2.0,3,100,100,100,50,0,149.31722560305568,0,DNN (True)
25,25.0,25.0,4.0,3,100,600,600,50,0,339.2865179835308,0,DNN (True)
26,26.0,26.0,5.0,3,100,800,800,50,0,297.0927149260664,0,DNN (True)
27,27.0,27.0,6.0,3,100,1000,1000,50,0,396.6376185747236,0,DNN (True)
28,28.0,0.0,,0,100,10,10,50,0,1.5483526603220708,0,DNN (True)
30,30.0,2.0,,0,100,100,100,50,0,168.6782654250597,0,DNN (True)
32,32.0,4.0,,0,100,600,600,50,0,614.3967345519097,0,DNN (True)
33,33.0,5.0,,0,100,800,800,50,0,35024.457702103515,0,DNN (True)
34,34.0,6.0,,0,100,1000,1000,50,0,400.560852612109,0,DNN (True)
35,35.0,0.0,,1,100,10,10,50,0,0.0561403894963584,0,DNN (True)
38,38.0,3.0,,1,100,400,400,50,0,441.9047263376893,0,DNN (True)
40,40.0,5.0,,1,100,800,800,50,0,3443.155437822902,0,DNN (True)
41,41.0,6.0,,1,100,1000,1000,50,0,7683496.277208687,0,DNN (True)
42,42.0,0.0,,2,100,10,10,50,0,9.921122429659738,0,DNN (True)
44,44.0,2.0,,2,100,100,100,50,0,1115.6159264965354,0,DNN (True)
45,45.0,3.0,,2,100,400,400,50,0,12874.15412850438,0,DNN (True)
46,46.0,4.0,,2,100,600,600,50,0,9174.970963964824,0,DNN (True)
47,47.0,5.0,,2,100,800,800,50,0,563.9471985390833,0,DNN (True)
48,48.0,6.0,,2,100,1000,1000,50,0,3422.677633334464,0,DNN (True)
49,49.0,0.0,,3,100,10,10,50,0,18.954997649524586,0,DNN (True)
51,51.0,2.0,,3,100,100,100,50,0,34.11630602090107,0,DNN (True)
54,54.0,5.0,,3,100,800,800,50,0,5552.599704938639,0,DNN (True)
55,55.0,6.0,,3,100,1000,1000,50,0,2342.981510451133,0,DNN (True)
56,0.0,,,0,100,10,10,50,0,2.1211741808575786,0,DNN (True)
57,1.0,,,0,100,50,50,50,0,38.29519419220604,0,DNN (True)
61,5.0,,,0,100,800,800,50,0,841.9817368037466,0,DNN (True)
62,6.0,,,0,100,1000,1000,50,0,115871.86431729129,0,DNN (True)
63,0.0,,,1,100,10,10,50,0,68.70618740565644,0,DNN (True)
67,4.0,,,1,100,600,600,50,0,1280.856236832212,0,DNN (True)
69,6.0,,,1,100,1000,1000,50,0,1772.7642640138013,0,DNN (True)
70,0.0,,,2,100,10,10,50,0,7.058069002254963,0,DNN (True)
73,3.0,,,2,100,400,400,50,0,641.2864166399469,0,DNN (True)
76,6.0,,,2,100,1000,1000,50,0,2377.7603172961262,0,DNN (True)
77,0.0,,,3,100,10,10,50,0,39.24355088504696,0,DNN (True)
80,3.0,,,3,100,400,400,50,0,339.71941492352124,0,DNN (True)
82,5.0,,,3,100,800,800,50,0,5238.855611969961,0,DNN (True)
83,6.0,,,3,100,1000,1000,50,0,24901.782790324483,0,DNN (True)
0,,,,0,100,10,10,50,0,4.163983056193787,0,DNN (True)
1,,,,0,100,50,50,50,0,43.76128618109826,0,DNN (True)
4,,,,0,100,600,600,50,0,16061.343159169397,0,DNN (True)
5,,,,0,100,800,800,50,0,7434.1486563796225,0,DNN (True)
6,,,,0,100,1000,1000,50,0,240360.90654270354,0,DNN (True)
3,,,,1,100,400,400,50,0,106.8225062720042,0,DNN (True)
4,,,,1,100,600,600,50,0,512.4253266076055,0,DNN (True)
5,,,,1,100,800,800,50,0,12074.479175255325,0,DNN (True)
6,,,,1,100,1000,1000,50,0,16001496.613115346,0,DNN (True)
0,,,,2,100,10,10,50,0,0.8111983277377887,0,DNN (True)
1,,,,2,100,50,50,50,0,16.592597274909878,0,DNN (True)
3,,,,2,100,400,400,50,0,425.4793585060491,0,DNN (True)
4,,,,2,100,600,600,50,0,864.5210368952813,0,DNN (True)
6,,,,2,100,1000,1000,50,0,14223.97480167675,0,DNN (True)
0,,,,3,100,10,10,50,0,0.49675696867265096,0,DNN (True)
1,,,,3,100,50,50,50,0,69.15309731879495,0,DNN (True)
2,,,,3,100,100,100,50,0,104.21021804359557,0,DNN (True)
3,,,,3,100,400,400,50,0,365.18391203758125,0,DNN (True)
6,,,,3,100,1000,1000,50,0,1099.860338912624,0,DNN (True)
